Main,Middle,Sub,Main,Middle,Sub,Central,Unfiltered,Description,DatapointType,Security
Public公共, , ,0,,,,,,,Auto
 ,Sensor, ,0,0,,,,,,Auto
 , ,Brightness.Val,0,0,1,,,当前照度,,Auto
 , ,Temperature.Val,0,0,2,,,当前温度,,Auto
 , ,BrtnSen_C1.Ctl,0,0,10,,,照度传感器_输出,,Auto
 , ,BrtnSen_C1.Lock,0,0,11,,,照度传感器_锁定,,Auto
 , ,BrtnSen_C1.Thd.Set,0,0,12,,,照度传感器_阈值设置,,Auto
 , ,BrtnSen_C1.Thd.Rep,0,0,13,,,照度传感器_阈值反馈,,Auto
F01-F05, , ,1,,,,,,,Auto
 ,F01, ,1,1,,,,,,Auto
 , ,F01_01.Ctl,1,1,1,,,,DPT-1,Auto
 , ,F01_02.Ctl,1,1,2,,,,DPT-1,Auto
 , ,F01_03.Ctl,1,1,3,,,,DPT-1,Auto
 , ,F01_04.Ctl,1,1,4,,,,DPT-1,Auto
 , ,F01_05.Ctl,1,1,5,,,,DPT-1,Auto
 , ,F01_06.Ctl,1,1,6,,,,DPT-1,Auto
 , ,F01_07.Ctl,1,1,7,,,,DPT-1,Auto
 , ,F01_08.Ctl,1,1,8,,,,DPT-1,Auto
 , ,F01_01.Fdb,1,1,101,,,,DPT-1,Auto
 , ,F01_02.Fdb,1,1,102,,,,DPT-1,Auto
 , ,F01_03.Fdb,1,1,103,,,,DPT-1,Auto
 , ,F01_04.Fdb,1,1,104,,,,DPT-1,Auto
 , ,F01_05.Fdb,1,1,105,,,,DPT-1,Auto
 , ,F01_06.Fdb,1,1,106,,,,DPT-1,Auto
 , ,F01_07.Fdb,1,1,107,,,,DPT-1,Auto
 , ,F01_08.Fdb,1,1,108,,,,DPT-1,Auto
 , ,F01_All.Scn,1,1,200,,,场景,DPT-18,Auto
 , ,F01_Actr.Lock,1,1,201,,,执行器锁定,DPT-1,Auto
 , ,F01_PB.Lock,1,1,211,,,面板锁定,DPST-1-2,Auto
 , ,F01_Scd.En,1,1,250,,,定时启用,DPST-1-3,Auto
